Country,Age,Salary,Purchased
UK,34,41000,Yes
France,22,52000,No
Germany,,47000,Yes
Spain,45,29000,No
Italy,19,61000,Yes
UK,58,32000,No
France,27,,Yes
Germany,41,54000,No
Spain,33,72000,Yes
Italy,,38000,No
UK,29,90000,Yes
France,52,31000,No
Germany,24,66000,Yes
Spain,61,28000,No
Italy,37,,Yes
UK,43,51000,No
France,31,84000,Yes
Germany,,45000,No
Spain,26,35000,Yes
Italy,48,27000,No
UK,22,70000,Yes
France,39,,No
Germany,57,33000,Yes
Spain,28,62000,No
Italy,25,81000,Yes
UK,,56000,No
France,46,29000,Yes
Germany,32,75000,No
Spain,54,,Yes
Italy,21,69000,No
UK,63,31000,Yes
France,35,43000,No
Germany,29,88000,Yes
Spain,,52000,No
Italy,44,26000,Yes
UK,23,77000,Yes
France,50,34000,No
Germany,38,,Yes
Spain,47,41000,No
Italy,33,93000,Yes
UK,56,28000,No
France,20,64000,Yes
Germany,,58000,No
Spain,31,72000,Yes
Italy,59,30000,No
UK,27,,Yes
France,42,51000,No
Germany,36,69000,Yes
Spain,25,81000,No
Italy,,47000,Yes
UK,49,33000,No
France,30,90000,Yes
Germany,62,27000,No
Spain,34,,Yes
Italy,28,76000,No
UK,40,58000,Yes
France,,45000,No
Germany,23,82000,Yes
Spain,52,31000,No
Italy,46,,Yes
UK,33,69000,No
France,57,28000,Yes
Germany,26,94000,No
Spain,,39000,Yes
Italy,41,53000,No
UK,24,85000,Yes
France,60,26000,No
Germany,35,,Yes
Spain,29,71000,No
Italy,20,68000,Yes
UK,,49000,No
France,48,33000,Yes
Germany,30,87000,No
Spain,55,,Yes
Italy,22,72000,No
UK,37,54000,Yes
France,25,93000,No
Germany,,42000,Yes
Spain,43,31000,No
Italy,32,86000,Yes
UK,51,29000,No
France,28,,Yes
Germany,40,69000,No
Spain,24,78000,Yes
Italy,63,27000,No
UK,,61000,Yes
France,36,48000,No
Germany,27,82000,Yes
Spain,49,,No
Italy,39,35000,Yes
UK,21,72000,Yes
France,53,30000,No
Germany,,56000,Yes
Spain,32,88000,No
Italy,45,31000,Yes
UK,26,,No
France,41,54000,Yes
Germany,58,28000,No
Spain,30,76000,Yes
Italy,,42000,No
UK,44,33000,Yes
France,23,81000,No
Germany,34,,Yes
Spain,57,29000,No
Italy,29,87000,Yes
UK,62,31000,No
France,38,69000,Yes
Germany,,45000,No
Spain,27,83000,Yes
Italy,47,32000,No
UK,25,,Yes
France,55,28000,No
Germany,31,91000,Yes
Spain,22,75000,No
Italy,,39000,Yes
UK,48,34000,No
France,33,86000,Yes
Germany,60,27000,No
Spain,35,,Yes
Italy,24,79000,No
UK,20,68000,Yes
France,,52000,No
Germany,43,31000,Yes
Spain,28,90000,No
Italy,50,,Yes
UK,36,45000,No
France,26,78000,Yes
Germany,59,30000,No
Spain,,41000,Yes
Italy,30,82000,No
UK,45,29000,Yes
France,21,74000,No
Germany,33,,Yes
Spain,53,28000,No
Italy,27,91000,Yes
UK,,47000,No
France,40,56000,Yes
Germany,25,88000,No
Spain,46,,Yes
Italy,62,26000,No
UK,28,72000,Yes
France,58,30000,No
Germany,,53000,Yes
Spain,39,84000,No
Italy,23,76000,Yes
UK,52,31000,No
France,34,,Yes
Germany,29,89000,No
Spain,20,68000,Yes
Italy,44,27000,No
UK,,59000,Yes
France,37,48000,No
Germany,24,91000,Yes
Spain,56,,No
Italy,31,83000,Yes
UK,47,30000,No
France,22,75000,Yes
Germany,,46000,No
Spain,33,87000,Yes
Italy,60,28000,No
UK,30,,Yes
France,49,33000,No
Germany,28,92000,Yes
Spain,25,71000,No
Italy,,40000,Yes
UK,41,52000,No
France,24,88000,Yes
Germany,55,29000,No
Spain,,43000,Yes
Italy,38,76000,No
UK,23,81000,Yes
France,61,27000,No
Germany,32,,Yes
Spain,48,31000,No
Italy,26,90000,Yes
UK,,45000,No
France,35,69000,Yes
Germany,27,85000,No
Spain,54,,Yes
Italy,21,72000,No
UK,39,56000,Yes
France,29,93000,No
Germany,,42000,Yes
Spain,42,31000,No
Italy,33,86000,Yes
UK,50,28000,No
France,28,,Yes
Germany,41,69000,No
Spain,24,78000,Yes
Italy,63,27000,No
UK,,61000,Yes
France,36,48000,No
Germany,27,82000,Yes
Spain,49,,No
Italy,39,35000,Yes
UK,21,72000,Yes
France,53,30000,No
Germany,,56000,Yes
Spain,32,88000,No
Italy,45,31000,Yes
UK,26,,No
France,41,54000,Yes
Germany,58,28000,No
Spain,30,76000,Yes
Italy,,42000,No
UK,44,33000,Yes
France,23,81000,No
Germany,34,,Yes
Spain,57,29000,No
Italy,29,87000,Yes
UK,62,31000,No
France,38,69000,Yes
Germany,,45000,No
Spain,27,83000,Yes
Italy,47,32000,No
UK,25,,Yes
France,55,28000,No
Germany,31,91000,Yes
Spain,22,75000,No
Italy,,39000,Yes
UK,48,34000,No
France,33,86000,Yes
Germany,60,27000,No
Spain,35,,Yes
Italy,24,79000,No
UK,20,68000,Yes
France,,52000,No
Germany,43,31000,Yes
Spain,28,90000,No
Italy,50,,Yes
