Country,Age,Salary,Purchased
UK,22,,No
France,,24000,No
Germany,24,31000,Yes
Spain,28,35000,Yes
Italy,21,,No
UK,32,42000,Yes
France,27,,Yes
Germany,35,52000,Yes
Spain,,61000,Yes
Italy,29,45000,No
UK,45,68000,Yes
France,52,72000,Yes
Germany,,54000,No
Spain,33,48000,Yes
Italy,47,,No
UK,55,53000,No
France,61,45000,No
Germany,58,,Yes
Spain,49,52000,Yes
Italy,,47000,No
UK,26,29000,Yes
France,23,,No
Germany,30,40000,Yes
Spain,36,51000,Yes
Italy,40,,Yes
UK,60,48000,No
France,,46000,Yes
Germany,50,70000,Yes
Spain,29,,No
Italy,25,33000,No
UK,31,41000,Yes
France,44,58000,Yes
Germany,,64000,No
Spain,57,55000,No
Italy,62,,No
UK,20,22000,No
France,24,,Yes
Germany,27,36000,Yes
Spain,35,50000,Yes
Italy,,53000,No
UK,48,62000,Yes
France,55,,No
Germany,42,57000,Yes
Spain,30,42000,Yes
Italy,33,,No
UK,25,27000,No
France,,25000,No
Germany,28,38000,Yes
Spain,40,56000,Yes
Italy,45,,Yes
UK,52,54000,No
France,58,47000,No
Germany,60,,No
Spain,37,52000,Yes
Italy,31,,Yes
UK,29,35000,Yes
France,26,,No
Germany,33,45000,Yes
Spain,43,60000,Yes
Italy,50,,Yes
UK,63,47000,No
France,41,53000,Yes
Germany,,58000,No
Spain,55,51000,No
Italy,59,,No
UK,19,23000,No
France,21,,No
Germany,25,34000,Yes
Spain,34,48000,Yes
Italy,,52000,Yes
UK,49,63000,Yes
France,57,,No
Germany,44,60000,Yes
Spain,32,43000,Yes
Italy,36,,No
UK,23,28000,No
France,,24000,No
Germany,29,37000,Yes
Spain,39,54000,Yes
Italy,42,,Yes
UK,54,52000,No
France,60,45000,No
Germany,62,,No
Spain,35,50000,Yes
Italy,30,,Yes
UK,27,31000,Yes
France,25,,No
Germany,31,43000,Yes
Spain,45,62000,Yes
Italy,52,,Yes
UK,64,46000,No
France,40,51000,Yes
Germany,,59000,No
Spain,56,53000,No
Italy,58,,No
UK,18,20000,No
France,22,,No
Germany,26,35000,Yes
Spain,38,53000,Yes
Italy,41,,Yes
UK,50,64000,Yes
France,59,,No
Germany,43,61000,Yes
Spain,31,42000,Yes
Italy,35,,No
UK,24,29000,No
France,,25000,No
Germany,28,38000,Yes
Spain,40,56000,Yes
Italy,46,,Yes
UK,53,53000,No
France,61,46000,No
Germany,63,,No
Spain,36,51000,Yes
Italy,32,,Yes
UK,30,40000,Yes
France,28,,Yes
Germany,34,47000,Yes
Spain,44,61000,Yes
Italy,51,,Yes
UK,62,45000,No
France,39,50000,Yes
Germany,,58000,No
Spain,55,52000,No
Italy,57,,No
UK,20,23000,No
France,23,,No
Germany,27,35000,Yes
Spain,37,52000,Yes
Italy,40,,Yes
UK,49,63000,Yes
France,56,,No
Germany,45,60000,Yes
Spain,33,43000,Yes
Italy,37,,No
UK,22,28000,No
France,,24000,No
Germany,25,34000,Yes
Spain,38,54000,Yes
Italy,43,,Yes
UK,52,52000,No
France,60,45000,No
Germany,61,,No
Spain,35,50000,Yes
Italy,30,,Yes
UK,28,39000,Yes
France,26,,No
Germany,32,45000,Yes
Spain,46,62000,Yes
Italy,53,,Yes
UK,65,47000,No
France,42,53000,Yes
Germany,,59000,No
Spain,57,51000,No
Italy,59,,No
UK,19,21000,No
France,20,,No
Germany,24,33000,Yes
Spain,36,52000,Yes
Italy,41,,Yes
UK,48,64000,Yes
France,58,,No
Germany,44,60000,Yes
Spain,32,43000,Yes
Italy,35,,No
